Date,Open,High,Low,Close,Adj Close,Volume,3MA,5MA
2000-07-05,7390,7520,7350,7430,5583.950195,24895000,5568.919433,5597.477637
2000-07-06,7240,7350,7180,7300,5486.249512,60340000,5581.444987,5583.950097
2000-07-07,7340,7460,7230,7360,5531.342773,40580000,5531.342122,5555.391601
2000-07-10,7440,7630,7410,7600,5711.711914,42505000,5533.847493,5552.385449
2000-07-11,7580,7740,7450,7450,5598.981934,34945000,5576.434733,5567.416211
2000-07-12,7520,7660,7460,7640,5741.773926,40140000,5614.012207,5582.447266
2000-07-13,7700,7880,7570,7760,5831.959473,48805000,5684.155925,5614.012012
2000-07-14,7780,7840,7540,7550,5674.134766,30425000,5724.238444,5683.154004
2000-07-17,7550,7550,7550,7550,5674.134766,0,5749.289388,5711.712403
2000-07-18,7550,7620,7440,7460,5606.496094,19605000,5726.743002,5704.196973
2000-07-19,7550,7620,7440,7460,5606.496094,19605000,5651.588542,5705.699805
2000-07-20,7060,7110,6840,6900,5185.634277,40315000,5629.042318,5678.644239
2000-07-21,6960,7050,6760,6920,5200.663086,48395000,5466.208822,5549.379199
2000-07-24,6640,6740,6360,6380,4794.832031,49015000,5330.931152,5454.684863
2000-07-25,6310,6400,6120,6280,4719.678223,56735000,5060.376465,5278.824316
2000-07-26,6400,6580,6360,6550,4922.594238,54745000,4905.05778,5101.460742
2000-07-27,6220,6360,6100,6230,4682.100586,43540000,4812.368164,4964.680371
2000-07-28,5800,5910,5710,5730,4306.330566,83035000,4774.791016,4863.973633
2000-07-31,5730,5910,5550,5900,4434.093262,46615000,4637.008463,4685.107129
2000-08-01,5960,6270,5870,6220,4674.586426,53120000,4474.174805,4612.959375
2000-08-02,6100,6170,5930,6070,4561.855469,37190000,4471.670085,4603.941016
2000-08-03,6180,6180,5970,6030,4531.791992,27815000,4556.845052,4531.793262
2000-08-04,5930,6010,5850,5920,4449.123535,23605000,4589.411296,4501.731543
2000-08-07,5740,5770,5580,5580,4193.600586,28765000,4514.256999,4530.290137
2000-08-08,5660,5750,5570,5580,4193.600586,33475000,4391.505371,4482.191602
2000-08-09,5680,6040,5680,6000,4509.24707,39570000,4278.774902,4385.994434
2000-08-10,6000,6160,5860,6160,4629.493164,40830000,4298.816081,4375.472754
2000-08-11,6000,6070,5880,5960,4479.182617,33840000,4444.113607,4395.012988
2000-08-14,6060,6160,6000,6020,4524.277344,23730000,4539.307617,4401.024805
2000-08-15,6020,6020,6020,6020,4524.277344,0,4544.317708,4467.160156
2000-08-16,6500,6530,6330,6420,4824.894531,51915000,4509.245768,4533.295508
2000-08-17,6480,6560,6340,6440,4839.924805,36345000,4624.483073,4596.425
2000-08-18,6500,6520,6200,6200,4659.554688,21370000,4729.698893,4638.511328
2000-08-21,6200,6340,6190,6270,4712.161621,20950000,4774.791341,4674.585742
2000-08-22,6260,6470,6240,6460,4854.956055,27710000,4737.213705,4712.162598
2000-08-23,6450,6450,6160,6190,4652.039063,27905000,4742.224121,4778.29834
2000-08-24,6260,6300,6100,6220,4674.586426,31700000,4739.718913,4743.727246
2000-08-25,6180,6400,6110,6400,4809.862305,21960000,4727.193848,4710.659571
2000-08-28,6340,6380,6260,6330,4757.255859,17630000,4712.162598,4740.721094
2000-08-29,6320,6380,6160,6220,4674.586426,16765000,4747.234863,4749.739942
2000-08-30,6140,6190,6020,6030,4531.791992,23735000,4747.234863,4713.666016
2000-08-31,5900,5900,5380,5470,4110.929199,114120000,4654.544759,4689.616602
2000-09-01,5540,5600,5420,5540,4163.535645,49955000,4439.102539,4576.885156
2000-09-04,5440,5550,5310,5340,4013.22998,28625000,4268.752279,4447.619824
2000-09-05,5260,5340,5030,5150,3870.436523,79765000,4095.898275,4298.814648
2000-09-06,5200,5280,5090,5150,3870.436523,53120000,4015.734049,4137.984668
2000-09-07,4940,4980,4760,4790,3599.881348,83905000,3918.034342,4005.713574
2000-09-08,4900,4930,4790,4880,3667.519287,57170000,3780.251465,3903.504004
2000-09-11,4880,4880,4880,4880,3667.519287,0,3712.612386,3804.300732
2000-09-12,4880,4880,4880,4880,3667.519287,0,3644.973307,3735.158594
2000-09-13,4880,4880,4880,4880,3667.519287,0,3667.519287,3694.575146
2000-09-14,4600,4710,4440,4710,3539.759033,106130000,3667.519287,3653.991699
2000-09-15,4500,4620,4300,4350,3269.203857,82695000,3624.932536,3641.967236
2000-09-18,4010,4120,3700,3970,2983.617676,146305000,3492.160726,3562.30415
2000-09-19,3990,4370,3900,4160,3126.410645,100525000,3264.193522,3425.523828
2000-09-20,4600,4660,4460,4600,3457.089355,103410000,3126.410726,3317.3021
2000-09-21,4590,4660,4320,4400,3306.78125,65445000,3189.039225,3275.216113
2000-09-22,3840,4050,3780,3800,2855.855957,103265000,3296.760417,3228.620557
2000-09-25,3880,4110,3840,4090,3073.802979,65985000,3206.575521,3145.950977
2000-09-26,3900,4040,3900,4000,3006.164551,58430000,3078.813395,3163.988037
2000-09-27,4000,4100,3960,4030,3028.710205,69795000,2978.607829,3139.938818
2000-09-28,4100,4190,4030,4060,3051.256348,52470000,3036.225912,3054.262988
2000-09-29,4120,4120,3940,4040,3036.22583,57535000,3028.710368,3003.158008
2000-10-02,3840,3880,3760,3810,2863.371826,41120000,3038.730794,3039.231983
2000-10-03,3810,3810,3810,3810,2863.371826,0,2983.618001,2997.145752
2000-10-04,3700,3950,3590,3890,2923.495361,82635000,2920.989827,2968.587207
2000-10-05,4020,4080,3940,3940,2961.071289,62745000,2883.413004,2947.544238
2000-10-06,3800,3900,3760,3900,2931.009766,54935000,2915.979492,2929.507226
2000-10-09,3820,3840,3680,3690,2773.186768,63195000,2938.525472,2908.464014
2000-10-10,3700,3810,3590,3660,2750.640137,62145000,2888.422608,2890.427002
2000-10-11,3450,3460,3210,3220,2419.962402,103605000,2818.27889,2867.880664
2000-10-12,3140,3280,3140,3140,2359.839111,79535000,2647.929769,2767.174072
2000-10-13,3000,3090,2830,3030,2277.168945,115295000,2510.147217,2646.927637
2000-10-16,3030,3030,3030,3030,2277.168945,0,2352.323486,2516.159473
2000-10-17,2980,3080,2730,2740,2059.221924,65300000,2304.725667,2416.955908
2000-10-18,2540,2760,2420,2730,2051.707031,164215000,2204.519938,2278.672265
2000-10-19,2730,3050,2690,2900,2179.469238,137720000,2129.365967,2205.021191
2000-10-20,3240,3330,3190,3330,2502.631348,118825000,2096.799398,2168.947217
2000-10-23,3490,3520,3160,3200,2404.931152,139960000,2244.602539,2214.039697
2000-10-24,3180,3420,3100,3340,2510.146729,97115000,2362.343913,2239.592139
2000-10-25,3200,3260,3130,3210,2412.447266,68730000,2472.569743,2329.7771
2000-10-26,2930,3030,2740,2890,2171.954346,133290000,2442.508382,2401.925147
2000-10-27,2890,2890,2890,2890,2171.954346,0,2364.849447,2400.422168
2000-10-30,2800,2880,2720,2750,2066.738037,36830000,2252.118653,2334.286768
2000-10-31,2750,2850,2630,2850,2141.891846,63190000,2136.882243,2266.648145
2000-11-01,3000,3270,2960,3260,2450.023682,94165000,2126.86141,2192.997168
2000-11-02,3200,3430,3170,3320,2495.116455,123180000,2219.551188,2200.512451
2000-11-03,3420,3470,3370,3440,2585.301514,80420000,2362.343994,2265.144873
2000-11-06,3460,3670,3380,3510,2637.90918,71865000,2510.147217,2347.814307
2000-11-07,3460,3550,3380,3440,2585.301514,53740000,2572.775716,2462.048535
2000-11-08,3400,3460,3280,3410,2562.754883,58215000,2602.837403,2550.730469
2000-11-09,3300,3430,3260,3400,2555.239258,52305000,2595.321859,2573.276709
2000-11-10,3360,3440,3320,3380,2540.209961,35140000,2567.765218,2585.30127
2000-11-13,3220,3260,3100,3150,2367.354736,51070000,2552.734701,2576.282959
2000-11-14,3210,3320,3210,3290,2472.56958,31755000,2487.601318,2522.17207
2000-11-15,3450,3460,3320,3390,2547.724121,55720000,2460.044759,2499.625684
2000-11-16,3400,3420,3250,3280,2465.055908,37420000,2462.549479,2496.619531
2000-11-17,3180,3230,3150,3220,2419.962402,36225000,2495.116536,2478.582861
2000-11-20,3160,3210,3100,3100,2329.777344,26795000,2477.58081,2454.533349
2000-11-21,3080,3170,2970,3160,2374.869141,51620000,2404.931885,2447.017871
2000-11-22,3100,3220,3080,3140,2359.839111,37710000,2374.869629,2427.477783
2000-11-23,3140,3260,3140,3210,2412.447266,44645000,2354.828532,2389.900781
2000-11-24,3310,3400,3270,3400,2555.239258,45530000,2382.385173,2379.379053
2000-11-27,3600,3800,3570,3780,2840.825439,100220000,2442.508545,2406.434424
2000-11-28,3650,3650,3500,3520,2645.424561,59770000,2602.837321,2508.644043
2000-11-29,3300,3350,3200,3220,2419.962402,54300000,2680.496419,2562.755127
2000-11-30,3220,3290,3150,3240,2434.993652,63315000,2635.404134,2574.779785
2000-12-01,3080,3220,3040,3180,2389.901367,96425000,2500.126872,2579.289062
2000-12-04,3220,3250,3080,3100,2329.777344,51875000,2414.952474,2546.221484
2000-12-05,3160,3250,3120,3240,2434.993652,58400000,2384.890788,2444.011865
2000-12-06,3410,3430,3210,3210,2412.447266,95890000,2384.890788,2401.925683
2000-12-07,3210,3260,3160,3260,2450.023682,43020000,2392.406087,2400.422656
2000-12-08,3260,3390,3260,3370,2532.692871,47575000,2432.4882,2403.428662
2000-12-11,3480,3630,3480,3580,2690.51709,70575000,2465.054606,2431.986963
2000-12-12,3580,3650,3500,3500,2630.393799,73745000,2557.744548,2504.134912
2000-12-13,3500,3780,3500,3780,2840.825439,84140000,2617.86792,2543.214942
2000-12-14,3620,3680,3560,3620,2720.577881,66965000,2720.578776,2628.890576
2000-12-15,3620,3640,3480,3490,2622.878174,52960000,2730.59904,2683.001416
2000-12-18,3500,3590,3490,3560,2675.486328,34350000,2728.093831,2701.038477
2000-12-19,3560,3570,3510,3530,2652.939941,25445000,2672.980794,2698.032324
2000-12-20,3420,3450,3320,3340,2510.146729,53675000,2650.434814,2702.541553
2000-12-21,3120,3300,3070,3240,2434.993652,76625000,2612.857666,2636.405811
2000-12-22,3240,3300,3130,3140,2359.839111,63760000,2532.693441,2579.288965
2000-12-25,3140,3140,3140,3140,2359.839111,0,2434.993164,2526.681152
2000-12-26,3230,3240,3160,3160,2374.869141,60430000,2384.890625,2463.551709
2000-12-27,3160,3160,3160,3160,2374.869141,0,2364.849121,2407.937549
2000-12-28,3160,3160,3160,3160,2374.869141,0,2369.859131,2380.882031
2000-12-29,3160,3160,3160,3160,2374.869141,0,2374.869141,2368.857129
2001-01-01,3160,3160,3160,3160,2374.869141,0,2374.869141,2371.863135
2001-01-02,3160,3380,3140,3350,2517.663086,39455000,2374.869141,2374.869141
2001-01-03,3230,3420,3220,3370,2532.692871,37855000,2422.467123,2403.42793
2001-01-04,3790,3870,3660,3780,2840.825439,119910000,2475.075033,2434.992676
2001-01-05,3760,3920,3700,3900,2931.009766,78135000,2630.393799,2528.183936
2001-01-08,3820,3910,3780,3880,2915.979736,42295000,2768.176025,2639.412061
2001-01-09,3830,3860,3710,3840,2885.917969,46280000,2895.938314,2747.63418
2001-01-10,3780,3810,3700,3710,2788.217285,41235000,2910.969157,2821.285156
2001-01-11,3790,3790,3640,3640,2735.609863,31410000,2863.371663,2872.390039
2001-01-12,3800,3890,3770,3840,2885.917969,52900000,2803.248372,2851.346924
2001-01-15,3860,4020,3840,3920,2946.041016,51460000,2803.248372,2842.328564
2001-01-16,3960,4200,3850,4140,3111.380371,52065000,2855.856283,2848.34082
2001-01-17,4060,4240,4060,4220,3171.502197,52570000,2981.113119,2893.433301
2001-01-18,4240,4530,4240,4400,3306.78125,57685000,3076.307861,2970.090283
2001-01-19,4700,4700,4520,4600,3457.089355,54245000,3196.554606,3084.324561
2001-01-22,4600,4600,4470,4550,3419.511963,42250000,3311.790934,3198.558838
2001-01-23,4550,4550,4550,4550,3419.511963,0,3394.460856,3293.253027
2001-01-24,4550,4550,4550,4550,3419.511963,0,3432.03776,3354.879346
2001-01-25,4550,4550,4550,4550,3419.511963,0,3419.511963,3404.481299
2001-01-26,4450,4480,3970,3980,2991.134033,91025000,3419.511963,3427.027441
2001-01-29,4000,4100,3960,4020,3021.195313,47245000,3276.71932,3333.836377
2001-01-30,4100,4170,4070,4110,3088.834473,39350000,3143.947103,3254.173047
2001-01-31,4090,4400,4090,4400,3306.78125,53045000,3033.721273,3188.037549
2001-02-01,4270,4420,4190,4270,3209.07959,39730000,3138.937012,3165.491406
